id,text,suffix,text_html,suffix_html,start_position,end_position,children,is_child
3GZWlAd3Ee237ZNGIts4gA,ущербе,". 
То",ущербе,". 
То",4087,4093,[],False
yPF4Tgd5Ee2eMkeBhW5vvw,сей,", кин",сей,", кин",4569,4572,[],False
wBgZ1v8MEe2CzqeLpihiyA,Крылобылу, Петр,Крылобылу, Петр,5021,5030,[],False
F93UTBrQEe6VcsfExpY8fw,Петр,", ох ",Петр,", ох ",5031,5035,[],False
0HFgPgd5Ee2vP_sm7Ht92w,сей, и вы,сей, и вы,5447,5450,[],False
y4Q1FntSEe-mrat2akY72w,ссуди, мне ,ссуди, мне ,7234,7239,[],False
KxRNPgnYEe26uzdRVjsdYQ,внабой,. Раз,внабой,. Раз,8195,8201,[],False
XyXQHh_dEe2S1nfIxxmDFw,запамятовать,. Вы ,запамятовать,. Вы ,8781,8793,[],False
HqjLDgmtEe2_VzdW0q_jAA,"мешком стебанутый 
из-за угла",. Так,"мешком стебанутый 
из-за угла",. Так,9637,9666,[],False
RYFdSntSEe-86_8BoOv1yQ,захудалого,", пое",захудалого,", пое",10932,10942,[],False
gdkQIgm2Ee2tdYPLQkJKSA,паче чаяния, в гр,паче чаяния, в гр,12477,12488,"[Annotation(id='KgFBaAwrEe2Ohb88hVKUQA', text='паче', suffix=' чаян', text_html='паче', suffix_html=' чаян', start_position=12477, end_position=12481, children=[], is_child=True)]",False
53ULigzkEe2Hy7Mj8nV-7Q,Ильичу,. Он ,Ильичу,. Он ,15985,15991,[],False
w7Te_ntREe-ED0fkPt8hJA,должности, соск,должности, соск,18592,18601,[],True
lUUxuHtREe-S3P9ox1uDWA,отмензурю,. В с,отмензурю,. В с,18663,18672,[],False
ioScNhrNEe663q-VkLnkpQ,Ильич,", — в",Ильич,", — в",18784,18789,[],False
8gGkPBrLEe6Zrt88y8ZiXw,Яков, Ильи,Яков, Ильи,19242,19246,[],True
nSvG2HtEEe-dkJskXfa7ww,"Былинник он был речистый, ей богу, Яков Ильич, ни дать ни взять, аты-баты",", 
до","т, былинник был речистый Яков Ильич, аты-баты",", 
до",19242,19315,"[Annotation(id='8gGkPBrLEe6Zrt88y8ZiXw', text='Яков', suffix=' Ильи', text_html='Яков', suffix_html=' Ильи', start_position=19242, end_position=19246, children=[], is_child=True), Annotation(id='jizoPhrNEe6OHv-VkDrZ9Q', text='Ильич', suffix=', аты', text_html='Ильич', suffix_html=', аты', start_position=19247, end_position=19252, children=[], is_child=True)]",False
jizoPhrNEe6OHv-VkDrZ9Q,Ильич,", аты",Ильич,", аты",19247,19252,[],True
1EWBiA0DEe2Oo_uhER9q4g,соль,? В т,соль,? В т,22099,22103,[],False
AZZXnhrMEe6XTD_ZaKxttw,Якову, Ильи,Якову, Ильи,22715,22720,[],False
r_pDHntQEe-l0LtFI-7kEQ,особенно, если,особенно, если,23601,23609,[],False
dGfwFg5rEe29szMi4aoyBQ,лапсердак,-с. П,лапсердак,-с. П,24513,24522,[],False
DL7TLhizEe2UT_9YXjz4FA,с,. Пол,с,. Пол,24523,24524,[],False
U8km1g0NEe26mdsci2udjg,ноские,", пос",ноские,", пос",24567,24573,[],True
H5xTHBi0Ee2vepfzPi6q4Q,залихватскому,. Но ,залихватскому,. Но ,25015,25028,[],False
