id,text,suffix,text_html,suffix_html,start_position,end_position,children,is_child
efGo9l0NEe2zHFdmL7rcDA,мастью червей,",
  И",мастью червей,",</li",1538,1551,[],False
My34OKj0Ee2W8McXWfcAKw,промозглая осень,"!
  У",промозглая осень,!</li,4696,4712,"[Annotation(id='nKyaVv1mEeyMezcjsM-_Qw', text='промозглая', suffix=' осен', text_html='промозглая', suffix_html=' осен', start_position=4696, end_position=4706, children=[], is_child=True)]",False
1L3B_v1mEeyMffeVkV_A2Q,капот,".
  
",капот,.</p>,4847,4852,[],True
sWWopv-hEeyrUeMSAr5YDw,ни складу ни ладу,",
  Н",ни складу ни ладу,",</li",5505,5522,[],False
d_Q_GgD6Ee27DjNlRro4Jg,"ладу,","
  Ни","ладу,",</li>,5518,5523,[],False
S6Y2Lk5cEe6arv9npS49eA,в саду городском,".


З",в саду городском,.</li,7070,7086,[],False
PysZFP74Eey_ADMXzhtwlg,грифоном,", то ",грифоном,", то ",7915,7923,[],False
K039_AK-Ee24r8_zLmN8Ww,"То ль, оперируя термином почты,
  
    Просто отбить их, как пару котлет.","
  
 ","То ли с грифоном, то ль с клячей Блед,</li>
  <li>То ль, оперируя термином почты,</li>
  <li>
    <p>Просто отбить их, как пару котлет.","</p>
",7948,8021,[],False
y8UTascwEe2kU99Q8B8zuA,леший, она ,леший, она ,8258,8263,[],False
32Vtzv76EeyYHyu8_akA0w,набекрень,",
  
",набекрень,",</li",8511,8520,[],False
Cl537gEAEe2TuGfX86_NjA,вечер на ночь,".
  Я",вечер на ночь,.</li,8642,8655,[],False
p6-EbAEnEe2KLV-nf3sa7g,набекрень,"?
  П",набекрень,?</li,8936,8945,[],False
