Id,highlighted,text,ru_trans,tags,prefix,suffix,highlighted_html,suffix_html,position_start,position_end,start_container,end_container,chapter,ch_num,lang,overlap,img_src,alt_text_eng,dog_sound
iV6hMqtkEeyw9NuWsnyvEg,Месяц ясен,"This expression hides a double meaning, as the word ""mesiats"" may mean both ""moon"" and ""month."" The author is at once suggesting that ""the month is clear"" (a rather indeterminate time setting) and that ""the moon shines."" The formulation recalls also Nikolai Gogol's *Diary of a Madman* (1834): ""I don't remember the date. There was also no month"" (Ostanin 10). Finally, this opening sets up the novel's fixation on seasonal time markers, as opposed to those created by humans.","Данное выражение скрывает в себя по крайней мере два значения: подразумевается либо месяц календаря, либо фаза луны. В первом случае это довольно неопределенное указание на время года, а во втором случае описывается, как луна сияет на небе. Формулировка напоминает ""Записки сумасшедшего"" Н. Гоголя: ""Числа не помню. Месяца тоже не было"" (Останин 10). К тому же, такое начало книги подсказывает, что в романе время движется согласно природным знакам времен года, оно не измеряется человеческими инструментами, приборами.","['explanatory', 'pun', 'intertextuality', 'time']","        
  01. Заитильщина
  
  ",", за числами не уследишь, год ны",Месяц ясен,", за числами не уследишь, год ны",639,649,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],01. ЗАИТИЛЫЦИНА,01,ru,none,[],[],False
mEeBYtNoEe-ZORNE80Nj6A,"Месяц ясен, за числами не уследишь","In a letter to his publisher Karl Proffer dated March 23, 1979, Sokolov wrote to say that he had decided keep the novel's title as *Between Dog and Wolf* (Box 1, Folder 5, Sasha Sokolov Collection, UC Santa Barbara Special Research Collections).","23 марта 1979 года Соколов написал письмо своему издателю Карлу Профферу, чтобы уведомить того о своем решении оставить ""Между собакой и волком"" в качестве названия романа (Box 1, Folder 5, Sasha Sokolov Collection, UC Santa Barbara Special Research Collections).",['archive'],"        
  01. Заитильщина
  
  ",", год нынешний. Гражданину 
Сидо","Месяц ясен, за числами не уследишь",", год нынешний. Гражданину 
Сидо",639,673,/div[1]/main[1]/article[1]/p[1]/hypothesis-highlight[1]/hypothesis-highlight[1]/hypothesis-highlight[1],/div[1]/main[1]/article[1]/p[1]/hypothesis-highlight[3]/hypothesis-highlight[1]/hypothesis-highlight[1],01. ЗАИТИЛЫЦИНА,01,ru,full,[],[],False
6FL--LeFEe2Rk8PqV6Awog,"Месяц ясен, за числами не уследишь, год нынешний","Elena Kravchenko writes: ""Sokolov differs from both the avant-garde aestheticization of the real and the conceptualist disclosure of the hyper-real. Firstly, reality is a priori presented in a reflected form through a series of artistic representations. Secondly, in his engagement with these signs, Sokolov does not simply abstract them from their 'original' function or context, but grounds them in their original medium: language. [...]. A pun, produced through a play on the homonym 'mesiats', throws off the reader, forcing him to reflect on the plurality of signifieds covered by a single name. By using the adjective 'iasnyi' (clear), with its indication of both clarity as colour and a level of intelligibility, the narrator provokes a double entendre, thus revealing the basis of the notion of time: the abstract category of time is grounded in a spatial (alberit heavenly) body"" (*The Prose* 71).","Елена Кравченко пишет: ""Соколов отличается как от авангардной эстетизации реального, так и от концептуалистического раскрытия гиперреального. Во-первых, реальность априори представлена ​​в отраженной форме через ряд художественных изображений. Во-вторых, в своем взаимодействии с этими символами Соколов не просто абстрагирует их от их ""исходной"" функции или контекста, но обосновывает их в их изначальной среде: языке. […]. Каламбур, произведенный посредством игры с омонимом ""месяц"", сбивает читателя с толку, заставляя его размышлять о множественности охватываемых одним именем символов. Используя прилагательное ""ясный"" с его указанием как на выразительность цвета, так и на уровень понятности, рассказчик провоцирует двусмысленность, тем самым раскрывая основу понятия времени: абстрактная категория времени обосновывается в пространственном (хотя и небесном) теле"" (Kravchenko, ""The Prose"" 71).

",['language'],"        
  01. Заитильщина
  
  ",". Гражданину 
Сидор Фомичу Пожил","Месяц ясен, за числами не уследишь, год нынешний",". Гражданину 
Сидор Фомичу Пожил",639,687,/div[1]/main[1]/article[1]/p[1]/hypothesis-highlight[1],/div[1]/main[1]/article[1]/p[1]/hypothesis-highlight[3],01. ЗАИТИЛЫЦИНА,01,ru,full,[],[],False
GETM3PAVEe2p7xsh907Cmg,"Месяц ясен, за числами не уследишь, год нынешний. Гражданину 
Сидор Фомичу Пожилых с уважением Зынзырэлы Ильи Петрикеича — Заитильщина","Alexey Salomatin and Artem Skvortsov identify this opening line as a reference to the apocryphal ""Correspondence between the Turkish Sultan and the Cossacks"" (348). Read the original letter [here](https://ru.wikisource.org/wiki/%D0%9F%D0%B8%D1%81%D1%8C%D0%BC%D0%BE_%D0%B7%D0%B0%D0%BF%D0%BE%D1%80%D0%BE%D0%B6%D1%86%D0%B5%D0%B2_%D1%82%D1%83%D1%80%D0%B5%D1%86%D0%BA%D0%BE%D0%BC%D1%83_%D1%81%D1%83%D0%BB%D1%82%D0%B0%D0%BD%D1%83). They note that the novel's opening begins with a reference to the letter's *ending*.","А. Саломатин и А. Скворцов определяют эту начальную строку как ссылку на апокрифическое ""Письмо запорожцев турецкому султану"" (Salomatin, Skvortsov 348). Прочитать оригинал письма можно [здесь](https://ru.wikisource.org/wiki/Письмо_запорожцев_турецкому_султану). Авторы статьи отмечают, что начало романа ссылается на финал письма.",['intertextuality'],"        
  01. Заитильщина
  
  ",". Разрешите уже, приступаю. Граж","Месяц ясен, за числами не уследишь, год нынешний. Гражданину 
Сидор Фомичу Пожилых с уважением Зынзырэлы Ильи Петрикеича — Заитильщина",". Разрешите уже, приступаю. Граж",639,773,/div[1]/main[1]/article[1]/p[1]/hypothesis-highlight[1]/hypothesis-highlight[1],/div[1]/main[1]/article[1]/p[1]/hypothesis-highlight[12],01. ЗАИТИЛЫЦИНА,01,ru,full,[],[],False
gf7Fjv7PEeyMpl8Idxg39g,Жить,"This sentence is constructed according to a complex system (infinitive and additional verbs): zhit' [...] byt' [...] zhit', byt' i videt' [...] zhit'-byt' [...] zhit'-byt' [...]. It is also resonant with the list of verbs that comes as an epigraph in *A School for Fools*: ""To chase, to hold, and to rotate / To hear, to see, and to offend, / To run, to breathe, likewise to hate, / and to endure, and to depend. – Russian verbs that represent well-known exception of the rules, rhythmically organized for easier memorization.""","Это предложение построено на основе сложносоставной системы (инфинитив + вспомогательные глаголы: ""жить [..] быть [..] жить, быть и видеть [..] жить-быть [..] жить-быть [..]"". Кроме того, такая система созвучна со списком глаголов, вынесенных в качестве эпиграфа в ""Школе для дураков"": ""Гонять, держать, бежать, обидеть, слышать, видеть, и вертеть, и дышать, и ненавидеть, и зависеть, и терпеть. Группа глаголов русского языка, составляющих известное исключение из правил; ритмически организована для удобства запоминания."" ","['register/style', 'intertextuality', 'self-reference']","     
  02. Ловчая повесть
  
  ",; знать цену глубоким галошам в,Жить,; знать цену глубоким галошам в,642,646,/div[1]/main[1]/article[1]/p[1]/hypothesis-highlight[1],/div[1]/main[1]/article[1]/p[1]/hypothesis-highlight[1],02. Ловчая повесть,02,ru,full,[],[],False
SdZXgu2TEey8l3NYP-AseA,Жить,"The narration in the chapters concerning Yakov are characterized by their more poetic style. This narrator, for instance, frequently uses infinitives, which evoke the eternal quality and endless time of the novel's setting.","Для глав, касающихся Якова, характерен более поэтический стиль повествования. Например, этот автор часто использует инфинитивы, подчеркивающие эффект вечности и нескончаемости времени действия романа. ","['language', 'register/style']","     
  02. Ловчая повесть
  
  ",; знать цену глубоким галошам в,Жить,; знать цену глубоким галошам в,642,646,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],02. Ловчая повесть,02,ru,none,[],[],False
r-EZtNHnEe-YXsP8rSV6Wg,Жить; знать цену глубоким,"When asked by D. Barton Johnson about the order in which he composed the three different parts of *Between Dog and Wolf*, Sokolov responded in a letter dated March 3, 1981: ""I wrote all three parts of *Dog* in parallel — today (or a consecutive week) — Zynzyrella, tomorrow (or a consecutive month) — Palamakhterov, and the poems — always, even in my sleep"" (Box 12, Folder 5, Don Johnson Papers, UC Santa Barbara Special Research Collections).","На вопрос Д. Бартона Джонсона о том, в каком порядке он сочинял три части ""Между собакой и волком"", Соколов ответил в письме от 3 марта 1981 года: ""Я писал все три части 'Собаки' параллельно — сегодня (или неделю подряд) — Дзындзырэлу, завтра (или месяц подряд) — Палахтеров, а стихи — всегда, даже во сне"" (Box 12, Folder 5, Don Johnson Papers, UC Santa Barbara Special Research Collections).","['structure', 'archive']","     
  02. Ловчая повесть
  
  ",галошам в пору разлива глубоких,Жить; знать цену глубоким,галошам в пору разлива глубоких,642,667,/div[1]/main[1]/article[1]/p[1]/hypothesis-highlight[1]/hypothesis-highlight[1],/div[1]/main[1]/article[1]/p[1],02. Ловчая повесть,02,ru,partial,[],[],False
0-50RlLgEe6otYcciHhFlg,To live,"The narration in the chapters concerning Yakov are characterized by their more poetic style. This narrator, for instance, frequently uses infinitives, which evoke the eternal quality and endless time of the novel's setting.",,"['language', 'register/style']"," 
  02. The Trapper's Tale
  
  ",; to know the value of deep galo,To live,; to know the value of deep galo,646,653,/div[1]/main[1]/article[1]/p[1]/hypothesis-highlight[1],/div[1]/main[1]/article[1]/p[1]/hypothesis-highlight[1],02. The Trapper's Tale,02,en,full,[],[],False
w18w_FLgEe63sodM2rxeWQ,To live,"This sentence is constructed according to a complex system (infinitive and additional verbs): zhit' […] byt' […] zhit', byt' i videt' […] zhit'-byt' […] zhit'-byt' […]. It is also resonant with the list of verbs that comes as an epigraph in *A School for Fools*: ""To chase, to hold, and to rotate / To hear, to see, and to offend, / To run, to breathe, likewise to hate, / and to endure, and to depend. – Russian verbs that represent well-known exception of the rules, rhythmically organized for easier memorization.""",,"['register/style', 'intertextuality', 'self-reference']"," 
  02. The Trapper's Tale
  
  ",; to know the value of deep galo,To live,; to know the value of deep galo,646,653,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],02. The Trapper's Tale,02,en,none,[],[],False
2lTY1NHnEe-qr5-XAvWW_A,To live; to know the value,"When asked by D. Barton Johnson about the order in which he composed the three different parts of *Between Dog and Wolf*, Sokolov responded in a letter dated March 3, 1981: ""I wrote all three parts of *Dog* in parallel — today (or a consecutive week) — Zynzyrella, tomorrow (or a consecutive month) — Palamakhterov, and the poems — always, even in my sleep"" (Box 12, Folder 5, Don Johnson Papers, UC Santa Barbara Special Research Collections).",,"['structure', 'archive']"," 
  02. The Trapper's Tale
  
  "," of deep galoshes at the time 
o",To live; to know the value," of deep galoshes at the time 
o",646,672,/div[1]/main[1]/article[1]/p[1]/hypothesis-highlight[1]/hypothesis-highlight[1],/div[1]/main[1]/article[1]/p[1],02. The Trapper's Tale,02,en,partial,[],[],False
9bFoDsGWEeyAvashHwkiCA,за числами не уследишь,"Typical sample of Sokolov's non-linear conception of time. See, for instance, Borden’s “Time Backward!” and Sokolov’s *School for Fools* and *Palisandria*.","Классический пример нелинеарного восприятия времени (см., например, R.C. Borden, Time, backward!: Sasha Sokolov and Valentin Kataev, и *Школа для дураков* и *Палисандрия* Соколова)","['time', 'self-reference', 'intertextuality']","1. Заитильщина
  
  Месяц ясен, ",", год нынешний. Гражданину 
Сидо",за числами не уследишь,", год нынешний. Гражданину 
Сидо",651,673,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],01. ЗАИТИЛЫЦИНА,01,ru,none,[],[],False
